aspect,datamask,first_b30,first_b40,first_b50,first_b70,gain,last_b30,last_b40,last_b50,last_b70,loss,lossyear,slope,treecover2000
211.11813354492188,1.0,17.0,92.0,67.0,31.0,0.0,21.0,90.0,74.0,34.0,1.0,1.0,5.400878429412842,64.0
270.0,1.0,27.0,74.0,74.0,43.0,0.0,50.0,80.0,112.0,86.0,1.0,1.0,1.8704805374145508,20.0
111.70933532714844,1.0,15.0,69.0,55.0,22.0,0.0,23.0,95.0,85.0,41.0,1.0,1.0,5.002098083496094,83.0
118.94651794433594,1.0,14.0,77.0,58.0,25.0,0.0,24.0,89.0,79.0,37.0,1.0,1.0,9.493803977966309,70.0
146.15771484375,1.0,20.0,85.0,71.0,32.0,0.0,21.0,80.0,66.0,29.0,1.0,1.0,3.3462514877319336,44.0
243.54302978515625,1.0,14.0,81.0,65.0,28.0,0.0,23.0,85.0,77.0,37.0,1.0,1.0,4.156274795532227,60.0
243.5255889892578,1.0,10.0,71.0,56.0,26.0,1.0,24.0,75.0,68.0,34.0,1.0,1.0,2.079603910446167,71.0
355.20880126953125,1.0,17.0,81.0,59.0,25.0,1.0,24.0,77.0,80.0,39.0,1.0,1.0,11.030588150024414,67.0
33.823768615722656,1.0,13.0,89.0,68.0,30.0,1.0,21.0,89.0,73.0,33.0,1.0,1.0,3.3455283641815186,62.0
53.28290939331055,1.0,20.0,81.0,63.0,26.0,0.0,30.0,78.0,83.0,45.0,1.0,1.0,4.643825531005859,55.0
45.11363983154297,1.0,10.0,75.0,61.0,28.0,0.0,22.0,78.0,66.0,31.0,1.0,1.0,2.6267173290252686,79.0
29.85323715209961,1.0,11.0,79.0,58.0,27.0,0.0,22.0,99.0,77.0,33.0,1.0,1.0,7.4436116218566895,71.0
101.2632064819336,1.0,20.0,64.0,59.0,29.0,0.0,22.0,93.0,74.0,33.0,1.0,1.0,9.411741256713867,43.0
206.71815490722656,1.0,17.0,84.0,60.0,22.0,0.0,18.0,87.0,67.0,29.0,1.0,1.0,4.146177291870117,70.0
90.0,1.0,26.0,72.0,72.0,42.0,0.0,37.0,68.0,87.0,59.0,1.0,1.0,1.870919942855835,20.0
180.0,1.0,28.0,71.0,73.0,42.0,0.0,21.0,8.0,15.0,11.0,1.0,1.0,1.8543341159820557,16.0
217.02899169921875,1.0,9.0,78.0,59.0,24.0,0.0,19.0,76.0,62.0,29.0,1.0,1.0,4.63700008392334,71.0
68.28680419921875,1.0,14.0,89.0,79.0,33.0,0.0,26.0,83.0,78.0,39.0,1.0,1.0,5.001256465911865,60.0
108.29338073730469,1.0,24.0,76.0,74.0,37.0,0.0,46.0,70.0,102.0,74.0,1.0,1.0,5.888966083526611,28.0
0.0,1.0,19.0,79.0,65.0,28.0,0.0,22.0,87.0,79.0,38.0,1.0,1.0,0.9274099469184875,63.0
123.48152160644531,1.0,20.0,72.0,56.0,25.0,0.0,21.0,99.0,69.0,29.0,1.0,1.0,3.3586440086364746,76.0
145.91563415527344,1.0,31.0,74.0,78.0,46.0,0.0,36.0,63.0,75.0,54.0,1.0,1.0,6.688666820526123,13.0
90.0,1.0,25.0,71.0,73.0,39.0,0.0,39.0,68.0,92.0,63.0,1.0,1.0,0.937476396560669,20.0
225.11215209960938,1.0,20.0,76.0,71.0,32.0,1.0,26.0,89.0,76.0,33.0,1.0,1.0,1.3140146732330322,44.0
63.58295440673828,1.0,10.0,75.0,52.0,20.0,0.0,25.0,78.0,71.0,35.0,1.0,1.0,4.162083625793457,100.0
90.0,1.0,30.0,70.0,80.0,44.0,0.0,39.0,67.0,86.0,59.0,1.0,1.0,0.9391302466392517,16.0
7.1767449378967285,1.0,13.0,83.0,55.0,17.0,0.0,17.0,83.0,61.0,26.0,1.0,1.0,7.436477184295654,72.0
236.45977783203125,1.0,18.0,90.0,74.0,31.0,0.0,23.0,82.0,80.0,40.0,1.0,1.0,3.3534629344940186,51.0
0.0,1.0,23.0,68.0,70.0,36.0,0.0,48.0,75.0,108.0,80.0,1.0,1.0,0.9274099469184875,29.0
0.0,1.0,26.0,73.0,78.0,40.0,0.0,52.0,77.0,113.0,86.0,1.0,1.0,1.8543341159820557,20.0
225.2539825439453,1.0,28.0,72.0,75.0,42.0,0.0,44.0,76.0,98.0,69.0,1.0,1.0,1.317291498184204,20.0
45.1302604675293,1.0,15.0,91.0,67.0,28.0,0.0,25.0,91.0,79.0,35.0,1.0,1.0,2.627481698989868,58.0
